question,question_type,answer,ambiguous,object_ids,room_ids,uid,origin
Is there a bookshelf and a cutting board in the house?,logical,no,False,"[[17], []]",[],20cec5d4-e3bb-46e5-8e08-4bb45c36dd74,template
Is there a bookshelf and a desk in the house?,logical,yes,False,"[[17], [21, 22]]",[],e4e4553c-3a26-42ab-b7c7-679e5b4ebfa8,template
Is there a bookshelf and a dishwasher in the house?,logical,no,False,"[[17], []]",[],8c862b7b-6063-4ab5-814b-0a7e11f04200,template
Is there a bookshelf and a door in the house?,logical,yes,False,"[[17], [25, 29, 24, 28, 23, 27, 30, 26]]",[],04297fb5-091a-49e5-bf62-b3c37ce389db,template
Is there a bookshelf and a door handle in the house?,logical,yes,False,"[[17], [34, 31, 32, 33, 35, 36]]",[],0f98801b-c4d9-4193-bb1e-f384c78247be,template
Is there a bookshelf and a dresser in the house?,logical,no,False,"[[17], []]",[],bc6f0b4d-7848-4cf4-a91f-1a001ce1a834,template
Is there a bookshelf and a dressing table in the house?,logical,no,False,"[[17], []]",[],c249c877-2c12-4221-9fb2-9e894d11b0b9,template
Is there a bookshelf and a dryer in the house?,logical,no,False,"[[17], []]",[],ca0198b1-4309-4258-b3c3-47b3c041a01c,template
Is there a bookshelf and a fireplace in the house?,logical,no,False,"[[17], []]",[],5298dafd-74a7-4f6e-83c6-eb3ec9bbdfc8,template
Is there a bookshelf and a fish tank in the house?,logical,no,False,"[[17], []]",[],6df02cc7-c9a1-4d0a-84e2-9e53360a699a,template
Is there a bookshelf and a food processor in the house?,logical,no,False,"[[17], []]",[],f81dbb4f-6816-4f7b-8cb6-d12bcb2018f4,template
Is there a bookshelf and a fruit bowl in the house?,logical,no,False,"[[17], []]",[],268fb599-5cb1-4e01-9590-c46f74a30422,template
Is there a bookshelf and a game console in the house?,logical,no,False,"[[17], []]",[],dfe69408-0b94-4584-8d88-5e2acf03dd9d,template
Is there a bookshelf and a headphones in the house?,logical,yes,False,"[[17], [38]]",[],f3d2a212-cb8e-4594-acbe-5b280a584e35,template
Is there a bookshelf and a heater in the house?,logical,no,False,"[[17], []]",[],70d86275-ccae-4ea4-889b-f95647dc7da9,template
Is there a bookshelf and an ironing board in the house?,logical,no,False,"[[17], []]",[],552d9e1a-5ac4-4566-bb21-b364fb77bc59,template
Is there a bookshelf and a jacket in the house?,logical,yes,False,"[[17], [39]]",[],42eb500f-5190-4c40-814e-0125bad2c521,template
Is there a bookshelf and a kettle in the house?,logical,no,False,"[[17], []]",[],538f5628-b4f7-4fae-8a75-cafdf4e7d35d,template
Is there a bookshelf and a lamp in the house?,logical,yes,False,"[[17], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],9685c2fb-e55f-46f9-8c61-f5ef7c313aa6,template
Is there a bookshelf and a loudspeaker in the house?,logical,no,False,"[[17], []]",[],87d29136-3a8e-4b1d-9569-4f075b2e7028,template
Is there a bookshelf and a microwave in the house?,logical,no,False,"[[17], []]",[],5bd23f9a-1f33-4073-bea0-98cd077781ad,template
Is there a bookshelf and a mirror in the house?,logical,no,False,"[[17], []]",[],d0af79f2-70ed-4249-af95-8eb7729f9c0f,template
Is there a bookshelf and a notice board in the house?,logical,yes,False,"[[17], [55, 53, 54]]",[],532b15e9-4ed6-4797-beda-5c9f00140cc5,template
Is there a bookshelf and an ottoman in the house?,logical,yes,False,"[[17], [37]]",[],aca74d19-6367-4962-bd59-0c543c4f8de2,template
Is there a bookshelf and a painting in the house?,logical,yes,False,"[[17], [51, 52]]",[],920c7b8a-879d-4c34-8898-c6da2c2c4ec8,template
Is there a bookshelf and a pan in the house?,logical,no,False,"[[17], []]",[],4f9a352f-1ea7-4cde-80e8-87b043275a37,template
Is there a bookshelf and a piano in the house?,logical,no,False,"[[17], []]",[],aa9d419a-5ed3-47cb-8835-8b01f2a381c2,template
Is there a bookshelf and a plates in the house?,logical,no,False,"[[17], []]",[],711eb4f1-4e59-4b31-aa3f-d5dc3da4e9ac,template
Is there a bookshelf and a range oven in the house?,logical,no,False,"[[17], []]",[],4d5a598d-f9a2-469f-83c1-8da5826476f7,template
Is there a bookshelf and a refrigerator in the house?,logical,no,False,"[[17], []]",[],d8414a98-a848-4979-93db-e8aef246ce2d,template
Is there a bookshelf and a robot in the house?,logical,yes,False,"[[17], [58, 56, 57]]",[],30ed4352-3b87-4a4e-8c4b-31d8b2ad6fed,template
Is there a bookshelf and a rubiks cube in the house?,logical,yes,False,"[[17], [61, 59, 62, 60]]",[],3a1a9854-b174-4d5a-9453-58246402b81c,template
Is there a bookshelf and a rug in the house?,logical,no,False,"[[17], []]",[],c47010b6-43d6-4fda-8a41-6ea0644c0d5f,template
Is there a bookshelf and a rack in the house?,logical,no,False,"[[17], []]",[],e818efbb-35d1-4e33-bd97-31c167decf1d,template
Is there a bookshelf and a shoes in the house?,logical,yes,False,"[[17], [63]]",[],b6faf048-9312-4e9b-ac98-ccae79e63391,template
Is there a bookshelf and a shower in the house?,logical,no,False,"[[17], []]",[],9f3ee702-b01c-48d8-a686-7be8fffb7708,template
Is there a bookshelf and a sign in the house?,logical,yes,False,"[[17], [68, 69, 65, 64, 70, 66, 67, 71, 72]]",[],5837608d-d43b-4f88-840f-af6aaff654ae,template
Is there a bookshelf and a sink in the house?,logical,no,False,"[[17], []]",[],93f38cc6-ba40-4892-b7ec-13e4ef254dc6,template
Is there a bookshelf and a sofa in the house?,logical,yes,False,"[[17], [18]]",[],e50dfa85-0421-4ff5-8507-da34dca8f991,template
Is there a bookshelf and a stereo set in the house?,logical,no,False,"[[17], []]",[],0d0dac9f-cd35-4c2f-9fdb-2819e5742fcc,template
Is there a bookshelf and a t-shirt in the house?,logical,yes,False,"[[17], [73]]",[],75982884-3082-4c51-b130-ce31871363b1,template
Is there a bookshelf and a table in the house?,logical,yes,False,"[[17], [74]]",[],33ead8f2-931a-4a1b-93e8-3031d7b41226,template
Is there a bookshelf and a teapot in the house?,logical,yes,False,"[[17], [75]]",[],4581c2a3-29b4-4c28-836c-03d4fb8fc751,template
Is there a bookshelf and a teddy bear in the house?,logical,yes,False,"[[17], [77, 76]]",[],36264738-ac4f-43c2-9710-98c7fa363380,template
Is there a bookshelf and a television in the house?,logical,no,False,"[[17], []]",[],34331d48-9913-47f5-9e8a-3f4aed3df039,template
Is there a bookshelf and a toilet in the house?,logical,no,False,"[[17], []]",[],8a8204af-2396-477c-bd45-b6f4d166f32b,template
Is there a bookshelf and a towel rack in the house?,logical,no,False,"[[17], []]",[],c78bf45c-e6ac-43be-b551-6d00839f48e7,template
Is there a bookshelf and a trophy in the house?,logical,yes,False,"[[17], [78]]",[],5ee9c992-f40d-40c1-b0a3-7fec660adf56,template
Is there a bookshelf and a tv stand in the house?,logical,no,False,"[[17], []]",[],961fc0a4-c92f-4cee-a912-117555e5f05a,template
Is there a bookshelf and a utensil holder in the house?,logical,no,False,"[[17], []]",[],aabf9bb0-a95c-45fe-9c75-e29af75feb8c,template
Is there a bookshelf and a vacuum cleaner in the house?,logical,no,False,"[[17], []]",[],649e72c2-bb2b-4098-aa59-07db246895b4,template
Is there a bookshelf and a vase in the house?,logical,yes,False,"[[17], [80, 79]]",[],9b755a12-3f12-4d91-849f-6b873f874542,template
Is there a bookshelf and a wardrobe cabinet in the house?,logical,no,False,"[[17], []]",[],3f1214cf-6954-40d4-8d51-156a2612491e,template
Is there a bookshelf and a washer in the house?,logical,no,False,"[[17], []]",[],61b9207d-d4bf-48eb-be05-83fcaeefd216,template
Is there a bookshelf and a water dispenser in the house?,logical,no,False,"[[17], []]",[],259c3d68-ff74-4e5c-a446-b1c23e004f98,template
Is there a bookshelf and a window in the house?,logical,yes,False,"[[17], [82, 84, 83, 81, 85]]",[],c37721b1-0358-4205-80af-60e887e642b7,template
Is there a bookshelf and a wine bottle in the house?,logical,yes,False,"[[17], [86, 88, 87]]",[],26b0a993-3ea4-4a9a-8a8d-4ca2b47b48ab,template
Is there a bookshelf and a wine glass in the house?,logical,yes,False,"[[17], [89]]",[],50ffcda4-a100-4b6c-a619-e383030ceb3f,template
Is there a box and a chair in the house?,logical,yes,False,"[[11], [14, 16, 13, 15, 12]]",[],1d1a44f0-1346-45d3-9a4c-5159ca46fdab,template
Is there a box and a chessboard in the house?,logical,no,False,"[[11], []]",[],4184af71-fa98-4a62-8a06-be5711d8faae,template
Is there a box and a coffee machine in the house?,logical,no,False,"[[11], []]",[],d1185a87-4bc1-49f1-b5f3-ce1af1ba83c1,template
Is there a box and a computer in the house?,logical,no,False,"[[11], []]",[],c69763ba-6769-449f-a0e4-bb54cc9de039,template
Is there a box and a cup in the house?,logical,yes,False,"[[11], [20, 19]]",[],1d23a31e-519e-4a2d-ba5d-7eb970ce0402,template
Is there a box and a cutting board in the house?,logical,no,False,"[[11], []]",[],27a881d9-1297-4051-b3c2-7be8bad6ccf1,template
Is there a box and a desk in the house?,logical,yes,False,"[[11], [21, 22]]",[],59b471a6-37e8-4151-ba58-e828ed52421d,template
Is there a box and a dishwasher in the house?,logical,no,False,"[[11], []]",[],5de64ef9-f35a-4702-b880-a94496b662b8,template
Is there a box and a door in the house?,logical,yes,False,"[[11], [25, 29, 24, 28, 23, 27, 30, 26]]",[],23d035b4-b239-4b99-96b5-0f1ac3edcc4b,template
Is there a box and a door handle in the house?,logical,yes,False,"[[11], [34, 31, 32, 33, 35, 36]]",[],9d5c3706-3ece-4ce4-b62b-6f5d4c2724cc,template
Is there a box and a dresser in the house?,logical,no,False,"[[11], []]",[],6b0b3b43-5c94-4c1c-bdf5-40117c8a38cf,template
Is there a box and a dressing table in the house?,logical,no,False,"[[11], []]",[],5d2499e9-9f59-4919-a57e-3845cd7ddf45,template
Is there a box and a dryer in the house?,logical,no,False,"[[11], []]",[],3c787846-6959-4504-88aa-0f501a498710,template
Is there a box and a fireplace in the house?,logical,no,False,"[[11], []]",[],db1616d3-0eb1-4156-a773-95eb58431719,template
Is there a box and a fish tank in the house?,logical,no,False,"[[11], []]",[],ebe3723e-c969-4ac0-9880-cef7b8dd203e,template
Is there a box and a food processor in the house?,logical,no,False,"[[11], []]",[],5dfbdaa4-7991-4a6e-ab43-f3762de8e30f,template
Is there a box and a fruit bowl in the house?,logical,no,False,"[[11], []]",[],16a9c2d7-4c50-494f-a4c6-b5843289b2de,template
Is there a box and a game console in the house?,logical,no,False,"[[11], []]",[],a8506329-9eab-4a0a-8d73-c308ee0072af,template
Is there a box and a headphones in the house?,logical,yes,False,"[[11], [38]]",[],6af50a54-3937-4bab-8bc6-0eef727946f6,template
Is there a box and a heater in the house?,logical,no,False,"[[11], []]",[],8318432e-bb75-4ff7-8161-b70c38bba6a4,template
Is there a box and an ironing board in the house?,logical,no,False,"[[11], []]",[],e3d052be-0adc-4f09-9cbf-f7db27992846,template
Is there a box and a jacket in the house?,logical,yes,False,"[[11], [39]]",[],9ff30b18-806d-424e-b6f2-f44f8dcd8b38,template
Is there a box and a kettle in the house?,logical,no,False,"[[11], []]",[],9bd71eef-3a5c-40f1-98cb-ec9a014fc154,template
Is there a box and a lamp in the house?,logical,yes,False,"[[11], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],67f49ed8-a5aa-4577-a4ff-9f1ce098df33,template
Is there a box and a loudspeaker in the house?,logical,no,False,"[[11], []]",[],ab5f587f-6d8d-469a-afea-311beaba3866,template
Is there a box and a microwave in the house?,logical,no,False,"[[11], []]",[],e1dde456-48c9-4ac2-b643-538f924075e5,template
Is there a box and a mirror in the house?,logical,no,False,"[[11], []]",[],281fe8ef-5bac-4421-a820-c14ade8d559c,template
Is there a box and a notice board in the house?,logical,yes,False,"[[11], [55, 53, 54]]",[],d7d854f2-f763-4674-bfe3-f5dff6cd1338,template
Is there a box and an ottoman in the house?,logical,yes,False,"[[11], [37]]",[],88f9585c-e04a-4440-aa50-41c30507bfe8,template
Is there a box and a painting in the house?,logical,yes,False,"[[11], [51, 52]]",[],ecd88ea8-5ed2-432d-8d98-cc9e7a1b3281,template
Is there a box and a pan in the house?,logical,no,False,"[[11], []]",[],76628068-ab61-4a4a-b0f3-6d81f32d0490,template
Is there a box and a piano in the house?,logical,no,False,"[[11], []]",[],e51e96f3-83e5-4ab7-b88c-30e18a0a1030,template
Is there a box and a plates in the house?,logical,no,False,"[[11], []]",[],89708d10-5a53-48ee-907e-75f3a3c8c92b,template
Is there a box and a range oven in the house?,logical,no,False,"[[11], []]",[],9e240a4f-045c-4f45-879d-aca0404718c6,template
Is there a box and a refrigerator in the house?,logical,no,False,"[[11], []]",[],07dd2a34-5a0d-46fc-b8b0-7e486e812726,template
Is there a box and a robot in the house?,logical,yes,False,"[[11], [58, 56, 57]]",[],b8c40592-b8e9-453f-81b0-6f66963e169e,template
Is there a box and a rubiks cube in the house?,logical,yes,False,"[[11], [61, 59, 62, 60]]",[],33c113fb-f5df-4928-867c-65763207bbb8,template
Is there a box and a rug in the house?,logical,no,False,"[[11], []]",[],aecd6008-d1e2-4db5-b70e-b682908f0932,template
Is there a box and a rack in the house?,logical,no,False,"[[11], []]",[],cd8ec6c0-a4db-47c3-b35b-a5b3b567c3ec,template
Is there a box and a shoes in the house?,logical,yes,False,"[[11], [63]]",[],316c22e1-f418-4d1b-a15d-f95979a7131d,template
Is there a box and a shower in the house?,logical,no,False,"[[11], []]",[],8ffc082c-214b-4b54-a844-2880cd7bd4c5,template
Is there a box and a sign in the house?,logical,yes,False,"[[11], [68, 69, 65, 64, 70, 66, 67, 71, 72]]",[],08a7416e-d88c-464d-b473-47223265bd3f,template
Is there a box and a sink in the house?,logical,no,False,"[[11], []]",[],da3e804f-836c-4a93-87f8-fde5e4a446e5,template
Is there a box and a sofa in the house?,logical,yes,False,"[[11], [18]]",[],f043d764-fdef-417f-a2b5-f4e617844f47,template
Is there a box and a stereo set in the house?,logical,no,False,"[[11], []]",[],0af7fde3-b655-4b7b-96f7-5681ee00e070,template
Is there a box and a t-shirt in the house?,logical,yes,False,"[[11], [73]]",[],de06b53f-9a72-44bc-9a48-dbeeebedaa55,template
Is there a box and a table in the house?,logical,yes,False,"[[11], [74]]",[],201061ec-d409-456c-b9a6-0801fbe37db8,template
Is there a box and a teapot in the house?,logical,yes,False,"[[11], [75]]",[],8444d625-37c6-4d56-bd7e-13c56fce49bc,template
Is there a box and a teddy bear in the house?,logical,yes,False,"[[11], [77, 76]]",[],30c40e74-3cdb-4f3c-806b-712defc67adb,template
Is there a box and a television in the house?,logical,no,False,"[[11], []]",[],6fb4726e-dd7d-44af-b5fb-00ce529471f3,template
Is there a box and a toilet in the house?,logical,no,False,"[[11], []]",[],6f562d8b-0aa5-4745-822d-a9400f9e973d,template
Is there a box and a towel rack in the house?,logical,no,False,"[[11], []]",[],52aadb46-3a9b-47d5-b165-57171ed5a691,template
Is there a box and a trophy in the house?,logical,yes,False,"[[11], [78]]",[],063475a8-0a27-45d2-b76d-3641c6519c45,template
Is there a box and a tv stand in the house?,logical,no,False,"[[11], []]",[],a7e9876a-5c2c-4cd7-8098-1c03665539b9,template
Is there a box and a utensil holder in the house?,logical,no,False,"[[11], []]",[],db50f06b-2512-4b1d-8177-3beba6bea77f,template
Is there a box and a vacuum cleaner in the house?,logical,no,False,"[[11], []]",[],3de72b40-569a-457a-b728-087528bf1479,template
Is there a box and a vase in the house?,logical,yes,False,"[[11], [80, 79]]",[],acf24a76-e013-483a-8bea-cb7e9b4e72bf,template
Is there a box and a wardrobe cabinet in the house?,logical,no,False,"[[11], []]",[],293d1d65-7949-4e7c-bd68-ffd74d5542a8,template
Is there a box and a washer in the house?,logical,no,False,"[[11], []]",[],21e94596-24c1-4131-bcbe-151d0ac52563,template
Is there a box and a water dispenser in the house?,logical,no,False,"[[11], []]",[],a2b233ec-7665-4116-9447-db225e30e169,template
Is there a box and a window in the house?,logical,yes,False,"[[11], [82, 84, 83, 81, 85]]",[],9b2c272e-ed7d-430c-a37f-a837d5ff2340,template
Is there a box and a wine bottle in the house?,logical,yes,False,"[[11], [86, 88, 87]]",[],00bc7739-c35a-4cc3-9b29-740ee82cdabc,template
Is there a box and a wine glass in the house?,logical,yes,False,"[[11], [89]]",[],2d15cca9-79c8-4d54-a5a4-cd42ae01efd1,template
Is there a chair and a chessboard in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],eb24ae97-2838-40c4-b853-21771e10738b,template
Is there a chair and a coffee machine in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],f182426d-8dbc-4318-bc42-d0f251ddf230,template
Is there a chair and a computer in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],09dd66ab-3801-40e7-b4fd-06b986409dd0,template
Is there a chair and a cup in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [20, 19]]",[],b0c2b595-4623-4dd1-ae1c-7d0e276eeae3,template
Is there a chair and a cutting board in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],e573702b-91ae-47d6-8f7f-ba202a788668,template
Is there a chair and a desk in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [21, 22]]",[],391b6924-744c-4337-bf82-4d62281d4e53,template
Is there a chair and a dishwasher in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],10244123-f108-4e04-a7bc-ac57405e72fc,template
Is there a chair and a door in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [25, 29, 24, 28, 23, 27, 30, 26]]",[],cb067e29-4c44-4e83-a400-c96add6d722d,template
Is there a chair and a door handle in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [34, 31, 32, 33, 35, 36]]",[],fc73e2fa-75d7-4b12-9849-428221d0c2f8,template
Is there a chair and a dresser in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],79268793-bdfa-471b-b252-fe7f698e8126,template
Is there a chair and a dressing table in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],5b556184-dd40-451b-97a2-372a20dbf173,template
Is there a chair and a dryer in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],aed4ae4c-3d51-40ea-8cd1-bb3b01adcc56,template
Is there a chair and a fireplace in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],58eea0d9-0e3d-41db-b262-d1fe6b207a5c,template
Is there a chair and a fish tank in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],36f19b23-841e-4fde-8cd8-144a381576ae,template
Is there a chair and a food processor in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],571e542c-deba-409c-a36c-f44c0a5528d0,template
Is there a chair and a fruit bowl in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],9812ad8d-5138-4fc5-920e-54f096b32c19,template
Is there a chair and a game console in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],85a1a3be-0cc8-474c-bb2d-c7b04becc9b8,template
Is there a chair and a headphones in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [38]]",[],3387e6bb-6f34-4ad1-a923-93fda7bbbd22,template
Is there a chair and a heater in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],addef1d1-6c38-460e-8ec6-6f46f9e8bf9d,template
Is there a chair and an ironing board in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],2fbb6e81-dee2-4df8-97d1-4347c295973d,template
Is there a chair and a jacket in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [39]]",[],2c5edd34-2369-407a-bc90-17bbfedf56c1,template
Is there a chair and a kettle in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],95a8d5c2-8282-4369-875a-9bd088643a54,template
Is there a chair and a lamp in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [41, 45, 46, 40, 50, 47, 48, 42, 43, 49, 44]]",[],4adb5e8d-87e2-4bfa-bf14-7b3dc75d47da,template
Is there a chair and a loudspeaker in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],578b5ef8-5347-4bf0-b1ce-ad666ac1fccd,template
Is there a chair and a microwave in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],20ffc034-ffb0-42c0-bd86-09d00da0c71f,template
Is there a chair and a mirror in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],3852f449-8900-49a4-b018-f5f87319d95d,template
Is there a chair and a notice board in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [55, 53, 54]]",[],26eeea59-8615-42fa-bd8d-cb03eb67b436,template
Is there a chair and an ottoman in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [37]]",[],718e7013-73df-423c-a6b8-be552d5a8fd6,template
Is there a chair and a painting in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [51, 52]]",[],89857017-8658-4c66-89ff-64cdf1a3e05a,template
Is there a chair and a pan in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],881d4bf7-d969-4138-bd90-b7ca54e42ef4,template
Is there a chair and a piano in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],516dd01d-19d1-4a54-a00a-3507114f332b,template
Is there a chair and a plates in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],34cdfb77-0097-4347-b664-596cddfcb360,template
Is there a chair and a range oven in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],68c67055-5277-4200-a5db-a314033bf52c,template
Is there a chair and a refrigerator in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],f32075c2-42f6-49c3-8ed6-c9bcf1cec4a8,template
Is there a chair and a robot in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [58, 56, 57]]",[],60da074f-8d36-43e4-ab20-6bdaa60d2e3c,template
Is there a chair and a rubiks cube in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [61, 59, 62, 60]]",[],a3e914fe-53df-4871-952c-5040ab6795f8,template
Is there a chair and a rug in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],c5ee0c34-e875-416f-a9ec-753afcaed63c,template
Is there a chair and a rack in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],9c2fc706-c069-4cd5-821d-06a1b920d464,template
Is there a chair and a shoes in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [63]]",[],f47a4beb-543a-48ba-8a0a-a26a47dfd4e7,template
Is there a chair and a shower in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],0c74458a-3835-4177-ad86-4876c4629dd6,template
Is there a chair and a sign in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [68, 69, 65, 64, 70, 66, 67, 71, 72]]",[],9f8f8e6a-a571-4d84-b9b8-c75cd6dc314c,template
Is there a chair and a sink in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],0278bf4c-c19d-4373-8097-fe8027d82d66,template
Is there a chair and a sofa in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [18]]",[],4bf53865-54fb-422f-b6aa-568a63751c73,template
Is there a chair and a stereo set in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],254e8b4b-da98-46fe-a217-6ebccda899e0,template
Is there a chair and a t-shirt in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [73]]",[],c03c0fe0-527b-4e1c-b7f8-3a2a3e2e2c83,template
Is there a chair and a table in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [74]]",[],37eef5df-c8b6-48cd-8a19-f9077c8d10e1,template
Is there a chair and a teapot in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [75]]",[],d81899d5-e9e3-4b7d-969d-eaff539bee7a,template
Is there a chair and a teddy bear in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [77, 76]]",[],7c64161e-4343-4dcf-8b2e-905001ba74f8,template
Is there a chair and a television in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],88b36104-0db8-470c-9acf-ff9a461ec1fa,template
Is there a chair and a toilet in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],729f7175-8425-4e20-a78d-f1744381da9f,template
Is there a chair and a towel rack in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],3d12de1a-9924-4609-89c5-cd8405c2ebff,template
Is there a chair and a trophy in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [78]]",[],fc58d44b-23c7-43b7-8b7c-ca09c1eca319,template
Is there a chair and a tv stand in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],c56a5a47-a3c4-4dfd-ad54-eb7100ac2d3c,template
Is there a chair and a utensil holder in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],af9fe3da-2e5c-4ddd-892f-fd67ae909408,template
Is there a chair and a vacuum cleaner in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],7072e81b-156f-4125-ad1e-645737a9b764,template
Is there a chair and a vase in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [80, 79]]",[],4fd9abb2-526b-4596-924b-967364b8b35d,template
Is there a chair and a wardrobe cabinet in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],7b9f1838-1019-467d-9af8-51d617e12820,template
Is there a chair and a washer in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],6da97e49-9b88-4b46-a13a-e83e714edfad,template
Is there a chair and a water dispenser in the house?,logical,no,False,"[[14, 16, 13, 15, 12], []]",[],c0c3ec86-6e9b-4d7e-98ee-9b2ac022170f,template
Is there a chair and a window in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [82, 84, 83, 81, 85]]",[],9bc9013f-1454-44d6-9332-c2a77317abea,template
Is there a chair and a wine bottle in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [86, 88, 87]]",[],69513b36-1ce0-4676-84e9-3eab44616b25,template
Is there a chair and a wine glass in the house?,logical,yes,False,"[[14, 16, 13, 15, 12], [89]]",[],4164e63e-e69b-42a9-beb4-343a232bc7b2,template
Is there a chessboard and a coffee machine in the house?,logical,no,False,"[[], []]",[],6e1939e2-eee3-4cf0-ba13-59074a2b2c3e,template
Is there a chessboard and a computer in the house?,logical,no,False,"[[], []]",[],acdf28fb-5d26-4cde-90d7-c6ef85057d85,template
Is there a chessboard and a cup in the house?,logical,no,False,"[[], [20, 19]]",[],4cd85f9f-9629-4ae6-b38a-0872a5623e72,template
Is there a chessboard and a cutting board in the house?,logical,no,False,"[[], []]",[],4dbcc168-6096-49eb-8dcb-2510100210f7,template
Is there a chessboard and a desk in the house?,logical,no,False,"[[], [21, 22]]",[],a1958ff4-b508-4600-9fcb-a16339d532b5,template
Is there a chessboard and a dishwasher in the house?,logical,no,False,"[[], []]",[],6501a8ee-63f5-43c9-8ea3-120e3da62bc6,template
Is there a chessboard and a door in the house?,logical,no,False,"[[], [25, 29, 24, 28, 23, 27, 30, 26]]",[],3ce7a30f-5924-4c76-bbac-50bb4ddfa8a5,template
Is there a chessboard and a door handle in the house?,logical,no,False,"[[], [34, 31, 32, 33, 35, 36]]",[],e49c4bb2-e0b7-4f85-8d71-b8fcdac33a58,template
Is there a chessboard and a dresser in the house?,logical,no,False,"[[], []]",[],9bfe6dcd-c276-408d-8ddb-0e2d7be435d7,template
Is there a chessboard and a dressing table in the house?,logical,no,False,"[[], []]",[],6493b080-3ce6-4cb4-9145-fe9cc757d12e,template
Is there a chessboard and a dryer in the house?,logical,no,False,"[[], []]",[],cfcfd9b9-0138-4d43-a5e2-717a4c5b7072,template
Is there a chessboard and a fireplace in the house?,logical,no,False,"[[], []]",[],d1aee7dc-e4c4-4868-9d2c-5e346766d8b4,template
Is there a chessboard and a fish tank in the house?,logical,no,False,"[[], []]",[],b537a29f-69dc-4b94-82e1-15ba7143788b,template
Is there a chessboard and a food processor in the house?,logical,no,False,"[[], []]",[],66a5e29d-1230-46eb-8d20-d1282225990f,template
Is there a chessboard and a fruit bowl in the house?,logical,no,False,"[[], []]",[],fe9a0eff-dc69-4a32-87a4-c9f2f29eb35a,template
